Timestamps(ms),Latitude,Longitude,f(Arts & Entertainment),f(College & University),f(Event),f(Food),f(Nightlife Spot),f(Outdoors & Recreation),f(Professional & Other Places),f(Residence),f(Shop & Service),f(Travel & Transport)
1406540390674,43.783054424500016,11.22364997935,9.0,11.0,1.0,15.0,6.0,13.0,19.0,42.0,19.0,9.0
1406540390674,43.783054424500016,11.235151291449998,20.0,3.0,0.0,57.0,7.0,7.0,75.0,70.0,78.0,39.0
1406540390674,43.783054424500016,11.24665260355,15.0,5.0,8.0,41.0,9.0,8.0,83.0,34.0,33.0,150.0
1406540390674,43.783054424500016,11.258153915649999,16.0,19.0,0.0,89.0,16.0,24.0,129.0,53.0,62.0,115.0
1406540390674,43.783054424500016,11.26965522775,22.0,12.0,1.0,81.0,5.0,20.0,105.0,73.0,142.0,55.0
1406540390674,43.783054424500016,11.281156539849999,10.0,3.0,1.0,48.0,4.0,17.0,53.0,49.0,61.0,20.0
1406540390674,43.783054424500016,11.29265785195,11.0,2.0,1.0,28.0,4.0,11.0,19.0,8.0,47.0,15.0
1406540390674,43.77400727950002,11.189146043049998,4.0,0.0,0.0,13.0,2.0,8.0,16.0,0.0,21.0,6.0
1406540390674,43.77400727950002,11.20064735515,7.0,2.0,0.0,14.0,2.0,1.0,26.0,15.0,32.0,3.0
1406540390674,43.77400727950002,11.212148667249998,8.0,2.0,0.0,39.0,6.0,7.0,32.0,36.0,85.0,11.0
1406540390674,43.77400727950002,11.22364997935,2.0,3.0,0.0,29.0,6.0,17.0,27.0,39.0,54.0,16.0
1406540390674,43.77400727950002,11.235151291449998,18.0,5.0,6.0,61.0,18.0,23.0,48.0,42.0,34.0,34.0
1406540390674,43.77400727950002,11.24665260355,31.0,7.0,1.0,193.0,40.0,27.0,57.0,42.0,86.0,209.0
1406540390674,43.77400727950002,11.258153915649999,49.0,41.0,1.0,269.0,34.0,27.0,53.0,32.0,67.0,126.0
1406540390674,43.77400727950002,11.26965522775,22.0,14.0,3.0,119.0,13.0,21.0,112.0,79.0,111.0,58.0
1406540390674,43.77400727950002,11.281156539849999,26.0,7.0,1.0,59.0,11.0,21.0,66.0,78.0,91.0,34.0
1406540390674,43.77400727950002,11.29265785195,8.0,5.0,0.0,16.0,7.0,10.0,45.0,91.0,43.0,10.0
1406540390674,43.76496013450002,11.189146043049998,0.0,0.0,0.0,7.0,0.0,4.0,12.0,13.0,20.0,2.0
1406540390674,43.76496013450002,11.20064735515,2.0,2.0,0.0,11.0,2.0,3.0,10.0,20.0,26.0,3.0
1406540390674,43.76496013450002,11.212148667249998,0.0,2.0,1.0,14.0,1.0,8.0,26.0,26.0,18.0,1.0
