Latitude,Longitude,normalized_density(Arts & Entertainment),normalized_density(College & University),normalized_density(Event),normalized_density(Food),normalized_density(Nightlife Spot),normalized_density(Outdoors & Recreation),normalized_density(Professional & Other Places),normalized_density(Residence),normalized_density(Shop & Service),normalized_density(Travel & Transport)
1.0,0.0,0.0,0.0,0.0,0.0017647058823529402,0.0025510204081632677,0.0,0.004761904761904761,0.006437768240343357,0.006076975016880481,0.0030721966205837217
1.0,0.05263157894736842,0.0,0.0,0.0,0.0017647058823529402,0.0,0.004444444444444437,7.936507936507934E-4,0.007510729613733918,0.00405131667792032,0.0
1.0,0.10526315789473684,0.0,0.0027855153203342658,0.0,0.0,0.0025510204081632677,0.0,0.0031746031746031737,0.022532188841201752,6.752194463200534E-4,0.0015360983102918608
1.0,0.15789473684210525,0.006024096385542173,0.0,0.0,0.0017647058823529402,0.0,0.0,0.0023809523809523803,0.0032188841201716786,0.00202565833896016,0.0015360983102918608
1.0,0.21052631578947367,0.0030120481927710867,0.0,0.0,0.002941176470588234,0.0,0.0,0.0023809523809523803,0.006437768240343357,0.003376097231600267,0.0015360983102918608
1.0,0.2631578947368421,0.0030120481927710867,0.0027855153203342658,0.0,0.0,0.0025510204081632677,0.004444444444444437,0.0023809523809523803,0.0032188841201716786,0.0,0.0
1.0,0.3157894736842105,0.0030120481927710867,0.0,0.0,5.882352941176468E-4,0.0,0.004444444444444437,0.0023809523809523803,0.004291845493562239,0.0,0.0
1.0,0.3684210526315789,0.0,0.0,0.0,5.882352941176468E-4,0.0,0.0,0.0,0.0010729613733905597,0.0013504388926401068,0.0015360983102918608
1.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,7.936507936507934E-4,0.0010729613733905597,0.0,0.0
1.0,0.5263157894736842,0.0030120481927710867,0.0,0.0,0.0017647058823529402,0.0,0.008888888888888873,0.003968253968253967,0.0,0.003376097231600267,0.0
1.0,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.008888888888888873,0.0015873015873015869,0.0,6.752194463200534E-4,0.0015360983102918608
