Latitude,Longitude,f(Arts & Entertainment),f(College & University),f(Event),f(Food),f(Nightlife Spot),f(Outdoors & Recreation),f(Professional & Other Places),f(Residence),f(Shop & Service),f(Travel & Transport)
45.08126024116418,7.662320137023926,0.0,0.0,0.0,3.0,1.0,0.0,6.0,6.0,9.0,2.0
45.08126024116418,7.66446590423584,0.0,0.0,0.0,3.0,0.0,1.0,1.0,7.0,6.0,0.0
45.08126024116418,7.666611671447754,0.0,0.0,0.0,0.0,1.0,0.0,5.0,21.0,1.0,1.0
45.08126024116418,7.668757438659668,2.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,1.0
45.08126024116418,7.670903205871582,1.0,0.0,0.0,5.0,0.0,0.0,3.0,6.0,5.0,1.0
45.08126024116418,7.673048973083496,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0
45.08126024116418,7.67519474029541,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0
45.08126024116418,7.677340507507324,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0
45.08126024116418,7.679486274719238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.08126024116418,7.681632041931152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
45.08126024116418,7.683777809143066,1.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,5.0,0.0
45.08126024116418,7.6859235763549805,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0
45.08126024116418,7.6880693435668945,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0
45.08126024116418,7.690215110778809,1.0,1.0,0.0,8.0,1.0,1.0,2.0,6.0,4.0,2.0
45.08126024116418,7.692360877990723,2.0,0.0,0.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0
45.08126024116418,7.694506645202637,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0
45.08126024116418,7.696652412414551,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0
45.08126024116418,7.698798179626465,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0
45.08126024116418,7.700943946838379,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45.08126024116418,7.703089714050293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0797689805887,7.662320137023926,2.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0
45.0797689805887,7.66446590423584,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
45.0797689805887,7.666611671447754,0.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,4.0,0.0
45.0797689805887,7.668757438659668,1.0,2.0,0.0,2.0,0.0,0.0,3.0,6.0,1.0,0.0
45.0797689805887,7.670903205871582,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0
45.0797689805887,7.673048973083496,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
45.0797689805887,7.67519474029541,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0
45.0797689805887,7.677340507507324,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0
45.0797689805887,7.679486274719238,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
45.0797689805887,7.681632041931152,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
45.0797689805887,7.683777809143066,1.0,0.0,0.0,12.0,4.0,1.0,0.0,3.0,6.0,1.0
45.0797689805887,7.6859235763549805,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
45.0797689805887,7.6880693435668945,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
45.0797689805887,7.690215110778809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
45.0797689805887,7.692360877990723,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0
45.0797689805887,7.694506645202637,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
45.0797689805887,7.696652412414551,1.0,0.0,0.0,3.0,1.0,0.0,6.0,2.0,3.0,0.0
45.0797689805887,7.698798179626465,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
45.0797689805887,7.700943946838379,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
45.0797689805887,7.703089714050293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.078277720013226,7.662320137023926,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0
45.078277720013226,7.66446590423584,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,6.0,0.0
45.078277720013226,7.666611671447754,1.0,0.0,0.0,8.0,2.0,1.0,2.0,2.0,7.0,0.0
45.078277720013226,7.668757438659668,1.0,0.0,0.0,6.0,3.0,0.0,4.0,1.0,6.0,0.0
45.078277720013226,7.670903205871582,0.0,0.0,0.0,6.0,3.0,1.0,4.0,2.0,2.0,2.0
45.078277720013226,7.673048973083496,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0
45.078277720013226,7.67519474029541,0.0,0.0,0.0,5.0,2.0,0.0,5.0,5.0,2.0,0.0
45.078277720013226,7.677340507507324,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0
45.078277720013226,7.679486274719238,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0
45.078277720013226,7.681632041931152,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0
45.078277720013226,7.683777809143066,0.0,0.0,0.0,5.0,1.0,1.0,2.0,4.0,5.0,0.0
45.078277720013226,7.6859235763549805,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
45.078277720013226,7.6880693435668945,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
45.078277720013226,7.690215110778809,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
45.078277720013226,7.692360877990723,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0
45.078277720013226,7.694506645202637,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0
45.078277720013226,7.696652412414551,2.0,1.0,0.0,3.0,1.0,1.0,2.0,5.0,5.0,1.0
45.078277720013226,7.698798179626465,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
45.078277720013226,7.700943946838379,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
45.078277720013226,7.703089714050293,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45.07678645943775,7.662320137023926,1.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,2.0,0.0
45.07678645943775,7.66446590423584,1.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,4.0,3.0
45.07678645943775,7.666611671447754,0.0,0.0,0.0,3.0,1.0,0.0,6.0,1.0,6.0,1.0
45.07678645943775,7.668757438659668,1.0,0.0,0.0,6.0,1.0,0.0,3.0,5.0,6.0,3.0
45.07678645943775,7.670903205871582,1.0,0.0,0.0,8.0,0.0,2.0,7.0,0.0,7.0,4.0
45.07678645943775,7.673048973083496,0.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,4.0,1.0
45.07678645943775,7.67519474029541,7.0,0.0,0.0,5.0,2.0,0.0,4.0,5.0,4.0,3.0
45.07678645943775,7.677340507507324,2.0,0.0,0.0,5.0,2.0,0.0,5.0,3.0,2.0,6.0
45.07678645943775,7.679486274719238,1.0,0.0,0.0,9.0,7.0,2.0,2.0,3.0,3.0,2.0
45.07678645943775,7.681632041931152,1.0,0.0,0.0,16.0,6.0,1.0,2.0,3.0,1.0,0.0
45.07678645943775,7.683777809143066,0.0,0.0,0.0,7.0,0.0,1.0,2.0,1.0,9.0,1.0
45.07678645943775,7.6859235763549805,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0
45.07678645943775,7.6880693435668945,0.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,3.0,4.0
45.07678645943775,7.690215110778809,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,2.0
