Latitude,Longitude,Food,Shop & Service,Professional & Other Places,Residence,Travel & Transport,Nightlife Spot,Outdoors & Recreation,College & University,Arts & Entertainment,Event
45.08126024116418,7.662320137023926,3.0,9.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0
45.08126024116418,7.66446590423584,3.0,6.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
45.08126024116418,7.666611671447754,0.0,1.0,4.0,21.0,1.0,1.0,0.0,1.0,0.0,0.0
45.08126024116418,7.668757438659668,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0
45.08126024116418,7.670903205871582,5.0,5.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0
45.08126024116418,7.673048973083496,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0
45.08126024116418,7.67519474029541,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0
45.08126024116418,7.677340507507324,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
45.08126024116418,7.679486274719238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.08126024116418,7.681632041931152,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45.08126024116418,7.683777809143066,3.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
45.08126024116418,7.6859235763549805,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
45.08126024116418,7.6880693435668945,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0
45.08126024116418,7.690215110778809,8.0,4.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0
45.08126024116418,7.692360877990723,5.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0
45.08126024116418,7.694506645202637,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.08126024116418,7.696652412414551,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
45.08126024116418,7.698798179626465,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
45.08126024116418,7.700943946838379,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45.08126024116418,7.703089714050293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0797689805887,7.662320137023926,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
45.0797689805887,7.66446590423584,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
45.0797689805887,7.666611671447754,5.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0797689805887,7.668757438659668,2.0,1.0,3.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0
45.0797689805887,7.670903205871582,1.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
45.0797689805887,7.673048973083496,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0797689805887,7.67519474029541,1.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0
45.0797689805887,7.677340507507324,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
45.0797689805887,7.679486274719238,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
45.0797689805887,7.681632041931152,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45.0797689805887,7.683777809143066,12.0,6.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0
45.0797689805887,7.6859235763549805,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
45.0797689805887,7.6880693435668945,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
45.0797689805887,7.690215110778809,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
