Latitude,Longitude,density(Arts & Entertainment),density(College & University),density(Event),density(Food),density(Nightlife Spot),density(Outdoors & Recreation),density(Professional & Other Places),density(Residence),density(Shop & Service),density(Travel & Transport)
45.08126024116418,7.662320137023926,36.075036075036074,72.15007215007215,0.0,360.75036075036076,0.0,0.0,108.22510822510822,0.0,216.45021645021643,216.45021645021643
45.08126024116418,7.66446590423584,0.0,0.0,36.075036075036074,216.45021645021643,0.0,0.0,108.22510822510822,0.0,252.5252525252525,36.075036075036074
45.08126024116418,7.666611671447754,36.075036075036074,36.075036075036074,0.0,36.075036075036074,0.0,0.0,0.0,0.0,757.5757575757575,180.37518037518038
45.08126024116418,7.668757438659668,0.0,0.0,0.0,108.22510822510822,0.0,0.0,108.22510822510822,72.15007215007215,108.22510822510822,108.22510822510822
45.08126024116418,7.670903205871582,36.075036075036074,36.075036075036074,0.0,180.37518037518038,0.0,0.0,180.37518037518038,36.075036075036074,216.45021645021643,108.22510822510822
45.08126024116418,7.673048973083496,36.075036075036074,0.0,36.075036075036074,0.0,36.075036075036074,0.0,0.0,36.075036075036074,108.22510822510822,108.22510822510822
45.08126024116418,7.67519474029541,0.0,0.0,36.075036075036074,0.0,0.0,0.0,36.075036075036074,36.075036075036074,144.3001443001443,108.22510822510822
45.08126024116418,7.677340507507324,0.0,36.075036075036074,0.0,72.15007215007215,0.0,0.0,36.075036075036074,0.0,36.075036075036074,0.0
45.08126024116418,7.679486274719238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.08126024116418,7.681632041931152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.075036075036074,36.075036075036074
45.08126024116418,7.683777809143066,0.0,0.0,72.15007215007215,180.37518037518038,0.0,0.0,108.22510822510822,36.075036075036074,0.0,216.45021645021643
45.08126024116418,7.6859235763549805,0.0,36.075036075036074,72.15007215007215,36.075036075036074,0.0,0.0,0.0,0.0,0.0,72.15007215007215
45.08126024116418,7.6880693435668945,0.0,72.15007215007215,36.075036075036074,36.075036075036074,0.0,0.0,0.0,0.0,144.3001443001443,36.075036075036074
