Timestamp (ms),Been Here,Venue Id,Venue Latitude,Venue Longitude,Focal Latitude,Focal Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
1394659859644,43,4d74b5dfe278f04d2ebc5ab8,46.53282374303429,10.935659370759629,46.53396448251934,10.936987262139695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,14,4f23df53e4b0eec7fd8c1e47,46.53295051454609,10.958743394472389,46.53396448251934,10.957139945019641,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,18,4bd788c6304fce7283ae33ab,46.532840475487106,10.96310073445379,46.53396448251934,10.962178115739626,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,3,4fc130b4e4b0d3da58f005c5,46.532908,10.963411,46.53396448251934,10.962178115739626,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,5,52109df611d271f099b16da1,46.53458023071289,11.085801124572754,46.53396448251934,11.088132383739289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,6,4ee0e03e7ee56b0308fc8cf5,46.5324758213324,11.20112210798714,46.53396448251934,11.198972139578991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,2,4effb04c775bec6b43f3144d,46.5324758213324,11.20112210798714,46.53396448251934,11.198972139578991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,6,4fdc48fde4b0735a6dcae54b,46.531737887297886,11.246811136765748,46.53396448251934,11.244315676058868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,43,4e27ed842271752a458f26ae,46.5317036495234,11.247053179260863,46.53396448251934,11.249353846778856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,28,4c603cab54ac0f471206b521,46.533703129877196,11.24816729588059,46.53396448251934,11.249353846778856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,4,4fbfd7bbe4b0327851051760,46.53360810704077,11.2517729656904,46.53396448251934,11.249353846778856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,4,518666a6498e6ba53b149d76,46.534018227609984,11.24871915088004,46.53396448251934,11.249353846778856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,28,50223bf3e4b079960fe3d45e,46.534999888400186,11.331769680605877,46.53396448251934,11.32996457829864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,5,4d5106497ee1a35db35e8b34,46.535255,11.331208,46.53396448251934,11.32996457829864,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,13,4ccf2c037f56a143ddd9c5a6,46.53498144849851,11.332196800814005,46.53396448251934,11.32996457829864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,0,52f2d6f4498ed1f6b99961da,46.536024,11.329618,46.53396448251934,11.32996457829864,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1394659859644,37,4d5103c03626a093861020bd,46.533765,11.333487,46.53396448251934,11.335002749018624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,3,5013ac4fe4b0adaeb0bb5c64,46.534319,11.332761,46.53396448251934,11.335002749018624,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,1,50391248e4b0d3a794247a0a,46.53582095460189,11.366273223615272,46.53396448251934,11.365231773338543,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1394659859644,1,5218f88711d24a6899858306,46.53169250488281,11.407942771911621,46.53396448251934,11.405537139098435,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,7,4eac2dc7991107f63ce64842,46.53305728397952,11.410397376657661,46.53396448251934,11.410575309818423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,43,4e5880fdae60dbf65b502ee7,46.53097175715485,11.414482666559534,46.53396448251934,11.410575309818423,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1394659859644,29,4dfb3217b0fb73bb4d78eb2e,46.535266024482496,11.4159110030039,46.53396448251934,11.415613480538408,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,7,4f783828e4b05cde61938945,46.532191,11.433389,46.53396448251934,11.435766163418354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1394659859644,1,4f785fd8e4b0e5e2bb8bcbdf,46.533522,11.435862,46.53396448251934,11.435766163418354,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,4,52c6f592498ebb6e07c7a800,46.53173101656694,11.44821041730497,46.53396448251934,11.445842504858327,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394659859644,67,4f0aee9ee4b06fab1b99f7bb,46.53159379939273,11.490597121922224,46.53396448251934,11.491186041338207,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
