Outdoors & Recreation,Food,Nightlife Spot,Shop & Service,Travel & Transport,Professional & Other Places,College & University,Arts & Entertainment,Residence,Event
4.8216737687572467E-4,0.003375171638130073,4.8216737687572467E-4,0.003375171638130073,9.643347537514493E-4,0.0024108368843786233,0.0014465021306271741,9.643347537514493E-4,9.643347537514493E-4,0.0
0.0,0.006267956897084655,4.8215053054497344E-4,0.003375053713814814,4.8215053054497344E-4,4.8215053054497344E-4,9.643010610899469E-4,0.0019286021221798938,4.8215053054497344E-4,0.0
4.823190798153416E-4,0.007717105277045466,4.823190798153416E-4,0.0014469572394460249,0.0028939144788920497,0.0,0.0,4.823190798153416E-4,9.646381596306832E-4,0.0
9.646718905071237E-4,0.0019293437810142474,0.0,9.646718905071237E-4,0.0019293437810142474,0.006752703233549867,0.0,0.0014470078357606856,4.8233594525356186E-4,0.0
4.8240342613027143E-4,0.0067536479658238,0.0043416308351724425,4.8240342613027143E-4,0.0014472102783908143,0.0,0.0,9.648068522605429E-4,0.0,0.0
4.823696818666471E-4,0.0033765877730665295,9.647393637332942E-4,0.0,0.00482369681866647,0.002411848409333235,9.647393637332942E-4,0.0,0.0014471090455999414,0.0
4.990904036636674E-4,0.0059890848439640085,0.0,0.0029945424219820042,9.981808073273347E-4,0.002495452018318337,0.0,0.0014972712109910021,0.0,0.0
9.981458856133465E-4,0.0029944376568400394,4.990729428066733E-4,0.005988875313680079,9.981458856133465E-4,0.001996291771226693,0.0,9.981458856133465E-4,0.0,0.0
9.643347537514493E-4,0.005303841145632971,9.643347537514493E-4,0.0014465021306271741,4.8216737687572467E-4,0.0014465021306271741,0.0014465021306271741,9.643347537514493E-4,0.0014465021306271741,0.0
9.648406022633311E-4,0.0019296812045266622,0.0,9.648406022633311E-4,4.8242030113166556E-4,0.007718724818106649,9.648406022633311E-4,0.0014472609033949967,0.0,0.0
9.646381596306832E-4,0.0057878289577840995,9.646381596306832E-4,0.0014469572394460249,0.0033762335587073913,0.0014469572394460249,0.0,4.823190798153416E-4,0.0,0.0
4.990904036636674E-4,0.0059890848439640085,0.0,0.0029945424219820042,9.981808073273347E-4,0.002495452018318337,0.0,0.0014972712109910021,0.0,0.0
0.0,0.0024949283410547235,9.979713364218893E-4,0.0034928996774766124,0.0029939140092656675,0.0034928996774766124,4.989856682109447E-4,4.989856682109447E-4,0.0,0.0
0.0,0.0,0.0,0.0,0.001033360245637274,0.0,0.0,0.011366962702010016,0.002066720491274548,0.0
0.0,0.006271025189546208,0.0,0.0033767058712941118,0.002894319318252096,9.647731060840319E-4,0.0,9.647731060840319E-4,0.0,0.0
0.0014464515916349204,0.0038572042443597875,0.0028929031832698408,0.0014464515916349204,4.8215053054497344E-4,0.0014464515916349204,4.8215053054497344E-4,0.0014464515916349204,4.8215053054497344E-4,4.8215053054497344E-4
8.5112155815706E-4,8.5112155815706E-4,8.5112155815706E-4,0.00340448623262824,0.0,0.0042556077907853,0.00255336467447118,8.5112155815706E-4,8.5112155815706E-4,0.0
0.003616255326567935,0.003616255326567935,0.0,0.0,0.0018081276632839675,0.0018081276632839675,0.0,0.003616255326567935,0.0,0.0
0.0019292763192613664,0.00916406251649149,9.646381596306832E-4,0.0,9.646381596306832E-4,9.646381596306832E-4,0.0,4.823190798153416E-4,0.0,0.0
0.0014468054849128482,0.003858147959767595,9.645369899418987E-4,4.8226849497094937E-4,9.645369899418987E-4,0.0019290739798837975,0.0019290739798837975,0.0024113424748547466,4.8226849497094937E-4,0.0
0.0,0.006271025189546208,0.0,0.0033767058712941118,0.002894319318252096,9.647731060840319E-4,0.0,9.647731060840319E-4,0.0,0.0
4.8230221628900064E-4,0.001446906648867002,4.8230221628900064E-4,0.001446906648867002,0.005787626595468008,0.0024115110814450034,0.0,4.8230221628900064E-4,0.0019292088651560026,0.0
9.643010610899469E-4,0.00433935477490476,0.0,0.003375053713814814,9.643010610899469E-4,0.002410752652724867,4.8215053054497344E-4,0.0014464515916349204,4.8215053054497344E-4,0.0
0.0018090761292437459,6.030253764145819E-4,0.0,0.0012060507528291638,0.0012060507528291638,0.006633279140560402,0.0,0.0,0.00301512688207291,0.0
0.0024109211255804535,0.0,0.0,0.0,0.0024109211255804535,0.004821842251160907,0.0,0.004821842251160907,0.0,0.0
4.822347812973946E-4,0.00530458259427134,0.0028934086877843677,0.0,0.0033756434690817624,9.644695625947892E-4,0.0,4.822347812973946E-4,9.644695625947892E-4,0.0
4.823696818666471E-4,0.008682654273599648,0.0019294787274665884,9.647393637332942E-4,0.0014471090455999414,4.823696818666471E-4,0.0,4.823696818666471E-4,0.0,0.0
0.0024110053763316186,6.027513440829046E-4,6.027513440829046E-4,6.027513440829046E-4,0.0012055026881658093,0.005424762096746142,6.027513440829046E-4,0.0024110053763316186,6.027513440829046E-4,0.0
0.0041337299568938515,0.0,0.0,0.0,0.0,0.006200594935340777,0.0,0.0041337299568938515,0.0,0.0
6.027092210946558E-4,0.0018081276632839675,0.0,0.005424382989851902,0.0,0.0024108368843786233,6.027092210946558E-4,0.0,0.003616255326567935,0.0
4.8226849497094937E-4,0.005304953444680443,9.645369899418987E-4,9.645369899418987E-4,0.0014468054849128482,0.0033758794647966456,0.0,0.0014468054849128482,4.8226849497094937E-4,0.0
0.0,0.0011127717121530547,0.0011127717121530547,0.0022255434243061093,0.0011127717121530547,0.005563858560765274,0.0011127717121530547,0.0,0.0022255434243061093,0.0
7.236810853123178E-4,0.002894724341249271,0.0,7.236810853123178E-4,7.236810853123178E-4,0.0036184054265615885,0.0036184054265615885,7.236810853123178E-4,0.0014473621706246355,0.0
6.027092210946558E-4,0.0018081276632839675,0.0,0.005424382989851902,0.0,0.0024108368843786233,6.027092210946558E-4,0.0,0.003616255326567935,0.0
0.0,5.78924613655741E-4,0.0,0.0017367738409672228,0.0034735476819344456,0.004052472295590187,0.0017367738409672228,0.002315698454622964,5.78924613655741E-4,0.0
8.036122947928743E-4,0.005625286063550121,8.036122947928743E-4,0.0024108368843786233,0.0,8.036122947928743E-4,0.0,8.036122947928743E-4,0.0032144491791714974,0.0
5.167523745953579E-4,0.006201028495144294,0.0015502571237860736,5.167523745953579E-4,0.0015502571237860736,5.167523745953579E-4,0.0,0.0015502571237860736,0.0015502571237860736,5.167523745953579E-4
0.0,5.78924613655741E-4,0.0,0.0017367738409672228,0.0034735476819344456,0.004052472295590187,0.0017367738409672228,0.002315698454622964,5.78924613655741E-4,0.0
4.822010752663237E-4,0.0038576086021305895,4.822010752663237E-4,0.004339809677396913,0.0024110053763316186,0.0019288043010652948,0.0,0.0,9.644021505326474E-4,0.0
4.8226849497094937E-4,0.005304953444680443,9.645369899418987E-4,9.645369899418987E-4,0.0014468054849128482,0.0033758794647966456,0.0,0.0014468054849128482,4.8226849497094937E-4,0.0
9.649081137497569E-4,0.007236810853123177,4.8245405687487845E-4,0.0019298162274995138,0.0019298162274995138,4.8245405687487845E-4,0.0,4.8245405687487845E-4,9.649081137497569E-4,0.0
0.0,0.005683878690729046,0.0,0.0015501487338351943,0.0041337299568938515,0.0020668649784469258,0.0010334324892234629,0.0,0.0,0.0
8.513299431735275E-4,8.513299431735275E-4,0.0,8.513299431735275E-4,0.0025539898295205824,0.0059593096022146925,8.513299431735275E-4,0.0025539898295205824,0.0,0.0
9.643347537514493E-4,0.0038573390150057974,0.0,0.0028930042612543483,0.0024108368843786233,0.003375171638130073,0.0,0.0,9.643347537514493E-4,0.0
0.0,0.0074853085816864555,0.0,0.0019960822884497213,0.002994123432674582,4.990205721124303E-4,0.0,9.980411442248606E-4,4.990205721124303E-4,0.0
8.513299431735275E-4,8.513299431735275E-4,0.0,8.513299431735275E-4,0.0025539898295205824,0.0059593096022146925,8.513299431735275E-4,0.0025539898295205824,0.0,0.0
5.166620649928656E-4,0.006716606844907253,5.166620649928656E-4,0.0020666482599714622,0.0015499861949785966,0.0010333241299857311,0.0,0.0010333241299857311,0.0010333241299857311,0.0
0.001446906648867002,0.0024115110814450034,0.0024115110814450034,0.001446906648867002,0.0024115110814450034,0.0,4.8230221628900064E-4,9.646044325780013E-4,0.002893813297734004,0.0
0.0,0.0038594974243716064,0.0,0.0038594974243716064,0.0014473115341393525,0.0038594974243716064,9.648743560929016E-4,0.0,4.824371780464508E-4,0.0
9.645707093485742E-4,0.0024114267733714354,0.0014468560640228615,4.822853546742871E-4,0.0014468560640228615,0.003858282837394297,9.645707093485742E-4,0.0024114267733714354,4.822853546742871E-4,0.0
0.0,0.0019292763192613664,0.0,0.0014469572394460249,0.008681743436676149,0.0014469572394460249,9.646381596306832E-4,0.0,0.0,0.0
9.643347537514493E-4,0.00723251065313587,0.0,0.0028930042612543483,9.643347537514493E-4,4.8216737687572467E-4,0.0,9.643347537514493E-4,9.643347537514493E-4,0.0
0.003101381858870041,0.0,0.0010337939529566802,0.0,0.0,0.003101381858870041,0.005168969764783401,0.0020675879059133605,0.0,0.0
4.822347812973946E-4,0.009644695625947892,0.0019289391251895785,4.822347812973946E-4,9.644695625947892E-4,9.644695625947892E-4,0.0,0.0,0.0,0.0
9.643347537514493E-4,0.005303841145632971,9.643347537514493E-4,0.0014465021306271741,4.8216737687572467E-4,0.0014465021306271741,0.0014465021306271741,9.643347537514493E-4,0.0014465021306271741,0.0
0.0,0.0034916788715303126,4.988112673614732E-4,0.004988112673614732,0.0029928676041688393,9.976225347229464E-4,0.0,9.976225347229464E-4,4.988112673614732E-4,0.0
9.647731060840319E-4,0.0053062520834621756,0.001447159659126048,0.001447159659126048,0.001447159659126048,0.0019295462121680638,0.001447159659126048,4.8238655304201595E-4,0.0,0.0
9.040954220926702E-4,9.040954220926702E-4,0.0,0.0018081908441853404,0.0027122862662780104,0.003616381688370681,0.0,9.040954220926702E-4,0.003616381688370681,0.0
0.0032162478536430054,0.0016081239268215027,0.0,0.0016081239268215027,0.0032162478536430054,0.0016081239268215027,0.0016081239268215027,0.0,0.0016081239268215027,0.0
5.566582823612894E-4,0.0022266331294451577,0.0011133165647225789,0.003339949694167737,0.0,0.004453266258890315,0.0011133165647225789,0.0011133165647225789,5.566582823612894E-4,0.0
0.00263101534147589,6.577538353689725E-4,0.001315507670737945,0.0019732615061069173,0.00263101534147589,0.00263101534147589,0.001315507670737945,6.577538353689725E-4,6.577538353689725E-4,0.0
5.168969764783401E-4,0.003618278835348381,0.0,0.004652072788305062,5.168969764783401E-4,0.005168969764783401,0.0,0.0,0.0,0.0
4.8238655304201595E-4,0.0033767058712941118,4.8238655304201595E-4,0.001447159659126048,0.0053062520834621756,0.0024119327652100796,0.0,9.647731060840319E-4,0.0,0.0
0.0,0.005168608137110051,0.0,0.0025843040685550253,0.0025843040685550253,0.00310116488226603,0.0,5.168608137110051E-4,5.168608137110051E-4,0.0
9.97866654391036E-4,9.97866654391036E-4,0.0,4.98933327195518E-4,0.008980799889519324,9.97866654391036E-4,0.0,0.0014967999815865538,4.98933327195518E-4,0.0
4.823696818666471E-4,0.0038589574549331767,0.0014471090455999414,4.823696818666471E-4,0.004341327136799824,0.0033765877730665295,0.0,4.823696818666471E-4,0.0,0.0
7.23579829563024E-4,7.23579829563024E-4,0.0,0.002170739488689072,0.002170739488689072,0.006512218466067215,0.0,7.23579829563024E-4,0.001447159659126048,0.0
9.645707093485742E-4,0.0024114267733714354,0.0014468560640228615,4.822853546742871E-4,0.0014468560640228615,0.003858282837394297,9.645707093485742E-4,0.0024114267733714354,4.822853546742871E-4,0.0
0.0,0.0036161289790873005,0.0018080644895436503,0.0027120967343154754,9.040322447718251E-4,9.040322447718251E-4,0.0,0.0018080644895436503,0.0027120967343154754,0.0
0.0,9.97866654391036E-4,9.97866654391036E-4,9.97866654391036E-4,0.00997866654391036,9.97866654391036E-4,0.0,0.0,4.98933327195518E-4,0.0
4.8238655304201595E-4,0.005788638636504192,4.8238655304201595E-4,0.001447159659126048,0.0024119327652100796,0.0019295462121680638,0.0,0.0,0.0019295462121680638,0.0
4.990904036636674E-4,0.0059890848439640085,0.0,0.0029945424219820042,9.981808073273347E-4,0.002495452018318337,0.0,0.0014972712109910021,0.0,0.0
9.647731060840319E-4,0.0053062520834621756,0.001447159659126048,0.001447159659126048,0.001447159659126048,0.0019295462121680638,0.001447159659126048,4.8238655304201595E-4,0.0,0.0
4.823696818666471E-4,0.008682654273599648,0.0019294787274665884,9.647393637332942E-4,0.0014471090455999414,4.823696818666471E-4,0.0,4.823696818666471E-4,0.0,0.0
0.0,0.0057880313430427426,4.8233594525356186E-4,0.0019293437810142474,0.0057880313430427426,4.8233594525356186E-4,0.0,0.0,0.0,0.0
