density(Arts & Entertainment),density(College & University),density(Event),density(Food),density(Nightlife Spot),density(Outdoors & Recreation),density(Professional & Other Places),density(Residence),density(Shop & Service),density(Travel & Transport)
0.0,0.0,0.0,0.0,174.93221376716525,0.0,0.0,87.46610688358263,174.93221376716525,174.93221376716525
0.0,0.0,0.0,174.93221376716525,0.0,0.0,87.46610688358263,262.39832065074785,437.3305344179131,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0,0.0
87.46610688358263,0.0,0.0,437.3305344179131,0.0,0.0,174.93221376716525,87.46610688358263,0.0,174.93221376716525
0.0,0.0,0.0,87.46610688358263,0.0,87.46610688358263,174.93221376716525,87.46610688358263,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0,0.0
0.0,0.0,0.0,87.46610688358263,0.0,0.0,524.7966413014957,0.0,174.93221376716525,0.0
0.0,0.0,0.0,174.93221376716525,0.0,0.0,174.93221376716525,0.0,349.8644275343305,0.0
0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0,87.46610688358263,0.0
0.0,437.3305344179131,0.0,262.39832065074785,0.0,0.0,1224.5254963701566,174.93221376716525,437.3305344179131,87.46610688358263
87.46610688358263,0.0,0.0,0.0,0.0,87.46610688358263,87.46610688358263,174.93221376716525,0.0,0.0
0.0,0.0,0.0,262.39832065074785,0.0,349.8644275343305,0.0,87.46610688358263,524.7966413014957,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,349.8644275343305,0.0,0.0,262.39832065074785,0.0,262.39832065074785,0.0
0.0,0.0,0.0,174.93221376716525,0.0,0.0,174.93221376716525,0.0,349.8644275343305,0.0
0.0,0.0,0.0,0.0,0.0,0.0,174.93221376716525,0.0,174.93221376716525,262.39832065074785
87.46610688358263,0.0,0.0,174.93221376716525,0.0,87.46610688358263,87.46610688358263,262.39832065074785,349.8644275343305,0.0
0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0,0.0,0.0,0.0
0.0,0.0,0.0,262.39832065074785,0.0,0.0,0.0,0.0,87.46610688358263,87.46610688358263
87.46610688358263,0.0,0.0,962.1271757194088,87.46610688358263,0.0,262.39832065074785,0.0,262.39832065074785,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0,0.0
0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0,0.0,87.46610688358263,0.0
0.0,0.0,0.0,349.8644275343305,0.0,0.0,87.46610688358263,87.46610688358263,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,87.46610688358263,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0
0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0,0.0,87.46610688358263
87.46610688358263,0.0,0.0,0.0,0.0,87.46610688358263,87.46610688358263,174.93221376716525,0.0,0.0
0.0,87.46610688358263,0.0,0.0,87.46610688358263,0.0,0.0,87.46610688358263,0.0,0.0
0.0,174.93221376716525,0.0,349.8644275343305,0.0,0.0,0.0,87.46610688358263,262.39832065074785,0.0
0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,87.46610688358263,174.93221376716525,0.0
0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0,87.46610688358263,0.0,0.0
0.0,0.0,0.0,87.46610688358263,87.46610688358263,87.46610688358263,262.39832065074785,87.46610688358263,787.1949619522436,262.39832065074785
0.0,0.0,0.0,87.46610688358263,0.0,0.0,0.0,0.0,174.93221376716525,0.0
0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,87.46610688358263,174.93221376716525,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.46610688358263,0.0,0.0
87.46610688358263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,262.39832065074785,0.0,0.0,262.39832065074785,262.39832065074785,174.93221376716525,0.0
0.0,0.0,0.0,87.46610688358263,0.0,0.0,87.46610688358263,0.0,0.0,174.93221376716525
0.0,0.0,0.0,174.93221376716525,0.0,0.0,0.0,262.39832065074785,87.46610688358263,87.46610688358263
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.46610688358263,0.0,0.0,87.46610688358263,0.0,0.0,0.0,0.0,0.0,0.0
