Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.015384615384615385,0.0,0.009615384615384616,0.0
0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.009615384615384616,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.023255813953488372,0.019230769230769232,0.0
0.07692307692307693,0.0,0.0,0.022988505747126436,0.05,0.0,0.023076923076923078,0.046511627906976744,0.057692307692307696,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0
0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.007692307692307693,0.0,0.0,0.0625
0.0,0.0,0.0,0.034482758620689655,0.0,0.0625,0.015384615384615385,0.023255813953488372,0.009615384615384616,0.0
0.0,0.125,0.0,0.011494252873563218,0.0,0.0,0.023076923076923078,0.0,0.0,0.0
0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.023255813953488372,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028846153846153848,0.0
0.15384615384615385,0.0,0.0,0.022988505747126436,0.0,0.0,0.07692307692307693,0.0,0.009615384615384616,0.0
0.0,0.125,0.0,0.0,0.0,0.0,0.023076923076923078,0.0,0.0,0.0
0.0,0.25,0.0,0.06896551724137931,0.0,0.0,0.05384615384615385,0.0,0.028846153846153848,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0625,0.007692307692307693,0.0,0.009615384615384616,0.0
0.0,0.0,0.0,0.04597701149425287,0.1,0.0,0.038461538461538464,0.0,0.019230769230769232,0.0
0.0,0.0,0.0,0.05747126436781609,0.05,0.0,0.03076923076923077,0.0,0.019230769230769232,0.125
0.0,0.0,0.0,0.0,0.0,0.0,0.023076923076923078,0.0,0.11538461538461539,0.0625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0
0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.046511627906976744,0.009615384615384616,0.0
0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.034482758620689655,0.0,0.0625,0.015384615384615385,0.023255813953488372,0.009615384615384616,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.0,0.009615384615384616,0.0625
