Outdoors & Recreation,Food,Nightlife Spot,Shop & Service,Travel & Transport,Professional & Other Places,College & University,Arts & Entertainment,Residence,Event
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
8.737683603034305E-4,0.0026166700075017798,8.15868635598183E-4,0.0013842827703292393,0.001953939943582821,0.0020120621345197202,9.106879260988607E-4,0.0015844884316554679,0.0021259081629167813,9.624145775813118E-5
