Travel & Transport,Outdoors & Recreation,Shop & Service,Food,Nightlife Spot,Professional & Other Places,College & University,Residence,Arts & Entertainment,Event
0.002903034696360347,7.257586740900868E-4,7.257586740900868E-4,4.8383911606005785E-4,0.0014515173481801735,7.257586740900868E-4,2.4191955803002892E-4,0.0,0.0,0.0
4.837501262014119E-4,2.4187506310070596E-4,4.837501262014119E-4,0.0016931254417049417,7.256251893021179E-4,0.0016931254417049417,4.837501262014119E-4,4.837501262014119E-4,9.675002524028238E-4,0.0
7.50646747553915E-4,2.5021558251797166E-4,0.0020017246601437733,0.002502155825179717,5.004311650359433E-4,5.004311650359433E-4,0.0,7.50646747553915E-4,0.0,0.0
0.0,0.0,0.0,0.002177409550156681,0.0012096719723092672,0.0016935407612329741,0.0019354751556948276,0.0,2.4193439446185344E-4,0.0
7.261595165609645E-4,0.0,7.261595165609645E-4,0.002904638066243858,0.0019364253774959053,7.261595165609645E-4,0.0,0.0,2.4205317218698816E-4,0.0
2.5016957556194696E-4,5.003391511238939E-4,0.0017511870289336287,0.0,5.003391511238939E-4,0.0025016957556194697,0.0,0.0010006783022477878,7.505087266858408E-4,0.0
0.0,0.0,4.839875282927354E-4,0.002661931405610045,9.679750565854708E-4,0.002419937641463677,2.419937641463677E-4,4.839875282927354E-4,0.0,0.0
3.154118739524672E-4,6.308237479049344E-4,3.154118739524672E-4,0.0,3.154118739524672E-4,3.154118739524672E-4,0.0,0.0053620018571919415,0.0,0.0
0.002267995856531521,4.535991713063042E-4,0.0,4.535991713063042E-4,0.0,4.535991713063042E-4,0.0,0.0031751941991441297,4.535991713063042E-4,0.0
7.508308793643727E-4,5.005539195762485E-4,2.5027695978812426E-4,0.003754154396821864,0.0012513847989406213,5.005539195762485E-4,0.0,2.5027695978812426E-4,0.0,0.0
4.841063443739763E-4,9.682126887479526E-4,4.841063443739763E-4,4.841063443739763E-4,4.841063443739763E-4,0.0031466912384308463,4.841063443739763E-4,4.841063443739763E-4,2.4205317218698816E-4,0.0
0.001075000280447582,0.001075000280447582,8.062502103356865E-4,8.062502103356865E-4,2.687500701118955E-4,0.0013437503505594774,0.0,0.001612500420671373,2.687500701118955E-4,0.0
9.679750565854708E-4,0.0,7.259812924391032E-4,0.002903925169756413,9.679750565854708E-4,9.679750565854708E-4,2.419937641463677E-4,0.0,4.839875282927354E-4,0.0
7.258922235349333E-4,4.8392814902328883E-4,4.8392814902328883E-4,0.0021776766706047995,0.001209820372558222,0.0019357125960931553,2.4196407451164442E-4,0.0,0.0,0.0
7.503707726186135E-4,2.501235908728712E-4,0.002751359499601583,0.0022511123178558406,5.002471817457424E-4,2.501235908728712E-4,0.0,5.002471817457424E-4,0.0,0.0
4.8383911606005785E-4,2.4191955803002892E-4,9.676782321201157E-4,0.002661115138330318,0.0016934369062102026,2.4191955803002892E-4,0.0,0.0,9.676782321201157E-4,0.0
