deltad((Arts & Entertainment) AND (Outdoors & Recreation) AND (Professional & Other Places)),-185.6704076846,,
deltad((Arts & Entertainment) AND (Outdoors & Recreation) AND (Residence)),-67.1921377455,,
deltad((Arts & Entertainment) AND (Outdoors & Recreation) AND (Shop & Service)),-335.3536374974,,
deltad((Arts & Entertainment) AND (Outdoors & Recreation) AND (Travel & Transport)),-61.5120017986,,
deltad((Arts & Entertainment) AND (Professional & Other Places) AND (Residence)),-565.3777133726,,
deltad((Arts & Entertainment) AND (Professional & Other Places) AND (Shop & Service)),-1000.3590550622,,
deltad((Arts & Entertainment) AND (Professional & Other Places) AND (Travel & Transport)),-580.1769954704,,
deltad((Arts & Entertainment) AND (Residence) AND (Shop & Service)),-342.7041671677,,
deltad((Arts & Entertainment) AND (Residence) AND (Travel & Transport)),-180.0140213083,,
deltad((Arts & Entertainment) AND (Shop & Service) AND (Travel & Transport)),8.9787693841,,
deltad((College & University) AND (Event) AND (Food)),-58.2704361144,,
deltad((College & University) AND (Event) AND (Nightlife Spot)),-208.3689955055,,
deltad((College & University) AND (Event) AND (Outdoors & Recreation)),-107.4674576237,,
deltad((College & University) AND (Event) AND (Professional & Other Places)),-1377.9286441552,,
deltad((College & University) AND (Event) AND (Residence)),-171.8087685772,,
deltad((College & University) AND (Event) AND (Shop & Service)),193.0030452506,,
deltad((College & University) AND (Event) AND (Travel & Transport)),417.1920830379,,
deltad((College & University) AND (Food) AND (Nightlife Spot)),-113.2794950215,,
deltad((College & University) AND (Food) AND (Outdoors & Recreation)),-50.7128064642,,
deltad((College & University) AND (Food) AND (Professional & Other Places)),-257.5160983818,,
deltad((College & University) AND (Food) AND (Residence)),-254.9548096,,
deltad((College & University) AND (Food) AND (Shop & Service)),0.6188822048,,
deltad((College & University) AND (Food) AND (Travel & Transport)),141.3676090951,,
deltad((College & University) AND (Nightlife Spot) AND (Outdoors & Recreation)),-82.9805391399,,
deltad((College & University) AND (Nightlife Spot) AND (Professional & Other Places)),-539.5442102796,,
deltad((College & University) AND (Nightlife Spot) AND (Residence)),-173.7449239216,,
deltad((College & University) AND (Nightlife Spot) AND (Shop & Service)),-528.2481566602,,
deltad((College & University) AND (Nightlife Spot) AND (Travel & Transport)),-159.0195347644,,
deltad((College & University) AND (Outdoors & Recreation) AND (Professional & Other Places)),-158.9545238218,,
deltad((College & University) AND (Outdoors & Recreation) AND (Residence)),-78.2651373523,,
deltad((College & University) AND (Outdoors & Recreation) AND (Shop & Service)),-175.7464069711,,
deltad((College & University) AND (Outdoors & Recreation) AND (Travel & Transport)),-90.1718009067,,
deltad((College & University) AND (Professional & Other Places) AND (Residence)),-430.2110410996,,
deltad((College & University) AND (Professional & Other Places) AND (Shop & Service)),-887.6185320362,,
deltad((College & University) AND (Professional & Other Places) AND (Travel & Transport)),49.0744052166,,
deltad((College & University) AND (Residence) AND (Shop & Service)),-325.0262484917,,
deltad((College & University) AND (Residence) AND (Travel & Transport)),-89.9868195469,,
deltad((College & University) AND (Shop & Service) AND (Travel & Transport)),815.1633569659,,
deltad((Event) AND (Food) AND (Nightlife Spot)),-21.7093735615,,
deltad((Event) AND (Food) AND (Outdoors & Recreation)),-72.5354765386,,
deltad((Event) AND (Food) AND (Professional & Other Places)),-213.9002097844,,
deltad((Event) AND (Food) AND (Residence)),-119.6203754057,,
deltad((Event) AND (Food) AND (Shop & Service)),562.9049888836,,
deltad((Event) AND (Food) AND (Travel & Transport)),411.6726142313,,
deltad((Event) AND (Nightlife Spot) AND (Outdoors & Recreation)),-53.6780026461,,
deltad((Event) AND (Nightlife Spot) AND (Professional & Other Places)),-633.3514194885,,
deltad((Event) AND (Nightlife Spot) AND (Residence)),-75.289357715,,
deltad((Event) AND (Nightlife Spot) AND (Shop & Service)),-215.2407349362,,
deltad((Event) AND (Nightlife Spot) AND (Travel & Transport)),85.6501778729,,
deltad((Event) AND (Outdoors & Recreation) AND (Professional & Other Places)),-335.0674532469,,
deltad((Event) AND (Outdoors & Recreation) AND (Residence)),-119.7067244631,,
deltad((Event) AND (Outdoors & Recreation) AND (Shop & Service)),-208.02104986,,
deltad((Event) AND (Outdoors & Recreation) AND (Travel & Transport)),-156.3391907376,,
deltad((Event) AND (Professional & Other Places) AND (Residence)),-685.2831023272,,
deltad((Event) AND (Professional & Other Places) AND (Shop & Service)),-79.3537375031,,
deltad((Event) AND (Professional & Other Places) AND (Travel & Transport)),825.0906451801,,
deltad((Event) AND (Residence) AND (Shop & Service)),-92.5166617893,,
deltad((Event) AND (Residence) AND (Travel & Transport)),125.1689060201,,
deltad((Event) AND (Shop & Service) AND (Travel & Transport)),3137.1738195511,,
deltad((Food) AND (Nightlife Spot) AND (Outdoors & Recreation)),-30.5840497759,,
deltad((Food) AND (Nightlife Spot) AND (Professional & Other Places)),-222.5981197949,,
deltad((Food) AND (Nightlife Spot) AND (Residence)),-87.202153776,,
deltad((Food) AND (Nightlife Spot) AND (Shop & Service)),-349.6251390288,,
deltad((Food) AND (Nightlife Spot) AND (Travel & Transport)),-58.5506192188,,
deltad((Food) AND (Outdoors & Recreation) AND (Professional & Other Places)),-89.4288414162,,
deltad((Food) AND (Outdoors & Recreation) AND (Residence)),-77.0338528538,,
deltad((Food) AND (Outdoors & Recreation) AND (Shop & Service)),-70.6564912354,,
deltad((Food) AND (Outdoors & Recreation) AND (Travel & Transport)),-37.4600349204,,
deltad((Food) AND (Professional & Other Places) AND (Residence)),-269.7282365376,,
deltad((Food) AND (Professional & Other Places) AND (Shop & Service)),263.9227064379,,
deltad((Food) AND (Professional & Other Places) AND (Travel & Transport)),463.4510662383,,
deltad((Food) AND (Residence) AND (Shop & Service)),-276.7493037348,,
deltad((Food) AND (Residence) AND (Travel & Transport)),-69.6152943781,,
deltad((Food) AND (Shop & Service) AND (Travel & Transport)),715.6165764105,,
deltad((Nightlife Spot) AND (Outdoors & Recreation) AND (Professional & Other Places)),-103.6422427998,,
deltad((Nightlife Spot) AND (Outdoors & Recreation) AND (Residence)),-48.1562054798,,
deltad((Nightlife Spot) AND (Outdoors & Recreation) AND (Shop & Service)),-178.1697748687,,
deltad((Nightlife Spot) AND (Outdoors & Recreation) AND (Travel & Transport)),-61.4355852431,,
deltad((Nightlife Spot) AND (Professional & Other Places) AND (Residence)),-290.3891201689,,
deltad((Nightlife Spot) AND (Professional & Other Places) AND (Shop & Service)),-898.1163832881,,
deltad((Nightlife Spot) AND (Professional & Other Places) AND (Travel & Transport)),-132.487711477,,
deltad((Nightlife Spot) AND (Residence) AND (Shop & Service)),-454.9036599706,,
deltad((Nightlife Spot) AND (Residence) AND (Travel & Transport)),-15.1161859918,,
deltad((Nightlife Spot) AND (Shop & Service) AND (Travel & Transport)),98.4693326622,,
deltad((Outdoors & Recreation) AND (Professional & Other Places) AND (Residence)),-199.1341693425,,
deltad((Outdoors & Recreation) AND (Professional & Other Places) AND (Shop & Service)),-419.3526675369,,
deltad((Outdoors & Recreation) AND (Professional & Other Places) AND (Travel & Transport)),-174.9460003038,,
deltad((Outdoors & Recreation) AND (Residence) AND (Shop & Service)),-311.0754034539,,
deltad((Outdoors & Recreation) AND (Residence) AND (Travel & Transport)),-86.1610504322,,
deltad((Outdoors & Recreation) AND (Shop & Service) AND (Travel & Transport)),-262.1886110136,,
deltad((Professional & Other Places) AND (Residence) AND (Shop & Service)),-502.784874855,,
deltad((Professional & Other Places) AND (Residence) AND (Travel & Transport)),-22.3985903504,,
deltad((Professional & Other Places) AND (Shop & Service) AND (Travel & Transport)),2475.9241595807,,
deltad((Residence) AND (Shop & Service) AND (Travel & Transport)),48.3205886664,,
