Timestamps(ms),Latitude,Longitude,normalized_density(Arts & Entertainment),normalized_density(College & University),normalized_density(Event),normalized_density(Food),normalized_density(Nightlife Spot),normalized_density(Outdoors & Recreation),normalized_density(Professional & Other Places),normalized_density(Residence),normalized_density(Shop & Service),normalized_density(Travel & Transport)
1393522599075,0.0020016594201645505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0019998453126601878,0.010062135032237124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.001997655595553861,0.02012426984271086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.00199509026898102,0.030186404389827913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0019921493328739393,0.04024853863195924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.001988832787300344,0.05031067252752348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0019851406322940967,0.06037280603489157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0019810728679229214,0.07043493911247023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.001976629494186819,0.08049707171865425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0019718105111873755,0.09055920381182055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0019666159188568666,0.10062133535037583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0019610457174323286,0.11068346629270892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994
1393522599075,0.001955099906846037,0.12074559659721462,0.0,0.0,0.0,0.11158594491927823,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.001948778487199579,0.1308077262222818,0.0,0.03477748305334512,0.0,0.11158594491927823,0.0,0.0,0.05263157894736842,0.0,0.04166666666666666,0.0
1393522599075,0.0019420814585268164,0.14086985512630515,0.0,0.03477748305334512,0.0,0.0,0.0,0.0,0.05263157894736842,0.0625,0.0,0.0
1393522599075,0.0019350088209970611,0.15093198326768553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.001927560574610313,0.16099411060480573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0019197367194004344,0.17105623709606657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0019115372555705997,0.18111836269985088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0019029621831546705,0.1911804873745654,0.0,0.0,0.0,0.22317188983855646,0.0,0.0,0.05263157894736842,0.0,0.0,0.12
1393522599075,0.0018940115021865097,0.20124261107859295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0018846852129031533,0.2113047337703224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0018749833153046014,0.22136685540816645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0018649058094585785,0.231428975950496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0018544526956021214,0.24149109535572374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,0.0018436239737352296,0.2515532135822266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
